logFC..nacl...control	logFC..h2o2...control	logFC..sorb...control	logCPM	F	PValue	FDR
KAF5836246	2.15182012694434	0.0681268599645013	0.784433138391418	6.49781794925283	61.4925995422928	1.21865247215026e-07	1.18628201585877e-05
KAF5843057	3.34257852674832	0.741934928532657	0.933976605589225	5.23725139915004	60.7274988698261	1.30882308992441e-07	1.25445659234293e-05
KAF5843378	-2.76027977358019	-0.565547227638387	-1.91776977570269	10.5824913635641	60.0125177907632	1.40017466413432e-07	1.32168002387224e-05
KAF5832099	1.64571753473148	0.230427483116161	0.774214843982749	4.73901615418632	59.767395225153	1.43318653998893e-07	1.3326495737509e-05
KAF5828341	-1.29275149304977	-0.335146223801858	-0.95874084088583	9.62083331345479	59.2774695516835	1.50192042317757e-07	1.37602415241122e-05
KAF5828187	-1.90079974680182	-0.308437437658296	-1.64056413698492	4.76118174947236	59.1164342017941	1.52534514321816e-07	1.37723191916654e-05
KAF5839052	-1.46699501170002	-0.2034849940199	-0.65346109545473	5.08096759695233	58.8290974333404	1.56820654047724e-07	1.39570382102474e-05
KAF5835954	1.24474626562931	-0.333496915334574	0.468273554055669	7.24958965359846	58.5643879002553	1.60893742992953e-07	1.41178594203675e-05
KAF5830138	-1.13125067016032	-0.160788323895541	-0.408315050163569	9.85307848736902	58.2186029535617	1.66401214316401e-07	1.43983272943219e-05
KAF5832210	-1.03081138070877	-0.0361234084403266	-0.873237474891327	8.49074581520672	58.0760683927388	1.68735067847332e-07	1.44002667491627e-05
KAF5842677	1.23131278342973	0.167604826263491	0.768333551661569	7.19149376279796	57.6064057537369	1.76699340979035e-07	1.4876174247289e-05
KAF5832542	1.53613253459935	-0.328478658898887	0.447605608330844	7.60852971436478	56.6581064001849	1.941526854725e-07	1.61276164065823e-05
KAF5842780	1.25860766668293	-0.0345819326041146	0.00708323021724999	10.4837217410261	54.5608794055391	2.40391204302914e-07	1.92328063222967e-05
KAF5828119	-1.80792491021312	-0.269254866269461	-0.507759261684265	7.95699995944313	54.545658463182	2.40770844870346e-07	1.92328063222967e-05
KAF5839746	1.65782460070116	0.114147466276163	0.46771261338731	4.67578074560942	54.4801931758608	2.42411652762507e-07	1.92328063222967e-05
KAF5835148	-2.4264916835818	0.177957033542407	-0.845851805929506	4.71211981653889	54.4219221904056	2.43883097826877e-07	1.92328063222967e-05
KAF5830177	2.18241870320043	0.204477483729718	1.16964669487294	3.30238283488174	54.243777304462	2.48446447324732e-07	1.93477670854135e-05
KAF5825457	-1.17588847535169	0.0678404696717553	-0.360781261336535	6.21411060470484	53.8763716056895	2.58175399628952e-07	1.98571943171404e-05
KAF5830176	2.11357259375856	0.063530698536204	1.09256213033375	3.10950514601076	53.6758772279673	2.63671215806054e-07	2.00325813959966e-05
KAF5828075	-1.42472041880096	0.216365868658995	-0.201503188851268	4.29410900777098	53.149799420906	2.78751233967534e-07	2.08211577989198e-05
KAF5826667	-0.55340018319371	0.514245464503794	-0.547996440029496	7.76985590278355	53.083075037182	2.80734711895548e-07	2.08211577989198e-05
KAF5827704	-3.22936164702248	-0.178066621874831	-2.43290206420804	4.07095791073305	52.6863645438708	2.92872332756046e-07	2.14426415565216e-05
KAF5842451	-2.40562006056341	-0.198644650610077	-1.17529364502896	6.46681181241898	52.5852200974984	2.96063914081346e-07	2.14426415565216e-05
KAF5842640	-1.43963611773176	-0.193338417954954	-0.698024187473737	6.37390724412472	52.4796070929548	2.99439777755599e-07	2.14426415565216e-05
KAF5830137	-1.05314326084125	-0.110304894118207	-0.385330151689635	7.61897233729049	52.1046689529847	3.11791626718393e-07	2.20734299369953e-05
KAF5843598	-4.36305365759542	0.211741534668148	-1.52390739155979	2.39176195427202	51.4216734774733	3.35849252890042e-07	2.3509447702303e-05
KAF5832543	1.34520518910239	-0.654826485986621	0.094319801490436	5.09733120372369	51.2922846037627	3.40646613813185e-07	2.35803156006238e-05
KAF5837749	-1.63081647850171	0.108697450691916	-0.575449680247789	5.46146037039989	50.9985080267144	3.51838132439001e-07	2.40873798362085e-05
KAF5841294	0.779495425157366	0.595370257687213	1.19527933032945	6.92636005755911	50.7431792190254	3.61913693391205e-07	2.43961953140124e-05
KAF5839382	-1.17356206619971	-0.0526889493965619	-0.295459021040732	9.35774634503667	50.6868677091428	3.64180764719607e-07	2.43961953140124e-05
KAF5833470	1.54996299641331	-0.21649423549975	-0.529146760321065	4.67937965349746	50.5607470288206	3.6931853473247e-07	2.44771752274818e-05
KAF5834620	-1.29125440726275	-0.0365946745592137	-0.588719736020805	6.59948614454469	50.4502422107455	3.73889591876678e-07	2.45192858672811e-05
KAF5832155	-1.34153043776318	0.0356124487705021	-0.498491341206675	5.99196392208651	50.1775808813366	3.85452756954717e-07	2.50142778732071e-05
KAF5833160	-1.3146877156206	-0.204178862841685	-0.722381570281803	5.11728065568637	48.1693937590541	4.84708508547337e-07	3.11312784355661e-05
KAF5837858	-1.11733555126568	0.26112509757852	-0.993044573895014	6.36546938283781	47.9104915407518	4.99557534459231e-07	3.16191733900117e-05
KAF5834352	1.16104699702889	0.504999325641153	0.478077662172476	7.07865273855947	47.7972910287317	5.06215897928035e-07	3.16191733900117e-05
KAF5826931	-1.70864685353083	0.181604023852568	-0.790330401639777	3.9334545660794	47.7751396682945	5.07530873033896e-07	3.16191733900117e-05
KAF5842913	-0.873869206608149	0.0684131854587331	-0.150774873956519	8.07722413346794	47.5323820255928	5.22205318148719e-07	3.22112785353121e-05
KAF5840340	-1.19701204020811	-0.367027304450769	-0.806744108458235	9.01487794230586	46.1072599572507	6.19012615275549e-07	3.78083195408497e-05
KAF5825384	-2.31551178871781	-0.500709410788914	-1.5094460712803	7.99993453553695	45.4210897864875	6.72987991785895e-07	4.07059727070498e-05
KAF5834911	-2.66916212878466	-0.752419039687127	-1.25180937363563	3.57338496042342	45.0179426690848	7.07250429547001e-07	4.23585790836724e-05
KAF5841483	-2.79501325504146	-0.394229583057925	-1.16603531351245	9.34508672577241	44.9422367167945	7.13908636241669e-07	4.23585790836724e-05
KAF5830500	-0.89130734652268	0.165707155371691	-0.306876657379029	7.4709788079219	44.2906010210616	7.74337500655562e-07	4.50980369354803e-05
KAF5826024	-1.30959435701998	-0.206492833003936	-0.777495500179064	6.81616703071152	44.2608556525464	7.77234955117678e-07	4.50980369354803e-05
KAF5841547	-1.96256403182474	-0.321875453462953	-1.18891088545757	12.4195514240311	44.2142940387687	7.8179582488473e-07	4.50980369354803e-05
KAF5833558	-2.29411845403638	0.197237114400469	-0.647184085846898	2.99938231373703	43.5867349223832	8.46409955831322e-07	4.83773763745792e-05
KAF5834096	-1.11781370974463	0.263243073469942	-1.11002221543023	5.1125817665549	43.1548846826867	8.94490931564275e-07	5.05426785318531e-05
KAF5838918	-1.71729147761558	0.281446642836215	-0.357832488783513	4.46449864950333	43.1026475484921	9.0051963355308e-07	5.05426785318531e-05
KAF5837081	-1.10848304456915	0.0701992623866694	-0.461841988033987	5.2591547794366	42.464735046819	9.78090789377125e-07	5.40434694967663e-05
KAF5838662	0.484226389592318	-0.00823864022022438	0.34852477992437	10.4482195568397	42.4478860908578	9.8024270515804e-07	5.40434694967663e-05
KAF5841345	-1.18686398086676	-0.0966454429901784	-0.166428136912657	5.86895513224587	42.244029029058	1.00672039355964e-06	5.50163864199699e-05
KAF5837890	0.605311998814535	0.046661517968166	0.552938761917638	8.0843376121287	42.1772236718762	1.01557770751876e-06	5.50178184160162e-05
KAF5831004	-2.03490488312523	-0.245894088756779	-1.0650866842988	6.43344950453043	41.9394620035561	1.04784516139967e-06	5.6276511685517e-05
KAF5837586	-0.791031034796638	0.168120170929289	-0.228572429124386	8.46463511813513	41.8407141557872	1.0615961334618e-06	5.65277257390341e-05
KAF5841752	-1.63574023913029	-0.552597194925356	-1.14479185177057	8.5618174664507	41.6265784920472	1.09214308305062e-06	5.76614526051303e-05
KAF5829528	-0.882280891025537	-0.0662562077696359	-0.556687071317086	6.96663518018708	40.8145820668187	1.21765381245341e-06	6.3426560713222e-05
KAF5843678	1.85143476793964	0.2508936293048	0.808574870542237	2.95643846992089	40.7900496990099	1.22169940378598e-06	6.3426560713222e-05
KAF5829338	-1.11251708500964	-0.0834201672910299	-0.449188146556905	6.52573963470089	40.6236748696818	1.24955245120932e-06	6.41331943691286e-05
KAF5832756	0.794924428419109	0.0265568524476049	0.315381888504144	8.87227059132039	40.5863692998691	1.25589883034249e-06	6.41331943691286e-05
KAF5840247	-1.55840249991333	-0.491414966734884	-0.849515948454695	3.74745886285666	40.2641125651945	1.31231056278557e-06	6.61593331518492e-05
KAF5828424	-1.05408115255264	0.420561075295678	-0.168195270361821	3.70762868855167	40.2390781504706	1.3168149776612e-06	6.61593331518492e-05
KAF5829365	2.43476333178499	-0.404532588885582	1.61964884508983	4.56212492885174	40.1681624123201	1.32967275542757e-06	6.627089013051e-05
KAF5836596	-1.00529108496037	0.147516242443968	-0.331875371536848	6.02018958871014	39.4383901853288	1.47084117560225e-06	7.27249247936669e-05
KAF5832886	-2.66174784137909	-0.551565667016552	-1.46541664879728	8.12597077304531	39.1517281751747	1.53101313186182e-06	7.51040300118043e-05
KAF5829923	-1.44647755212247	0.198511354443701	-0.837489996379996	3.4243114441274	38.6092750802271	1.65289684276146e-06	8.02619686576427e-05
KAF5840035	-1.41374022460805	-0.158333493249374	-0.531360712348746	5.08683801504256	38.5709575442621	1.66192519371363e-06	8.02619686576427e-05
KAF5838476	-0.825428107729432	0.130561448458885	0.0194354319416577	7.57003346485062	38.5149349593644	1.67522867776027e-06	8.02821127880498e-05
KAF5833384	4.37504042938177	0.731603125644476	2.06107284509565	2.60005583005136	38.1762816091	1.75833726327048e-06	8.305463101898e-05
KAF5828212	-0.627055681851606	0.148696752459661	0.0167434611537714	11.2402306271109	38.1386552449138	1.76786392699787e-06	8.305463101898e-05
KAF5836500	7.08252148190006	3.69303905644377	5.68651054565337	2.33757065924124	38.1181678901205	1.77307639254002e-06	8.305463101898e-05
KAF5829922	-1.44646847257276	0.198467721517538	-0.837449517305639	3.35494369120341	38.0385576603796	1.79350158415957e-06	8.33844393232398e-05
KAF5838246	-1.4156673274416	0.126126916705556	-0.573254349889848	4.97371826062729	37.9623501779568	1.81331064773432e-06	8.36809284102577e-05
KAF5828289	-1.0682002567164	0.0677551577308248	-0.13940462727727	8.34578429112181	37.7687322516257	1.8647946827706e-06	8.54240505416238e-05
KAF5835300	-1.29651666162766	0.511361047587931	-0.486271962684178	4.89131769076818	37.6605864856171	1.89429087156519e-06	8.5861428695909e-05
KAF5833027	-0.738849628501107	0.141285741189914	-0.362242385815848	7.85833020541277	37.611985667057	1.90772306492395e-06	8.5861428695909e-05
KAF5829003	-0.833615810759485	-0.0866007617736783	-0.306155452932158	9.52114561322934	37.5833529860633	1.91568837700343e-06	8.5861428695909e-05
KAF5838193	-1.55125065151715	-0.381593474592423	-0.909111129303181	11.0944783158679	37.4819305254137	1.9442160261661e-06	8.65176131643913e-05
KAF5833217	-1.63653446851313	-0.456086455575878	-1.04817844591792	8.45640714688511	37.4303989400724	1.95889982197671e-06	8.6552807736985e-05
KAF5833585	-1.70195775329342	-0.369647083879295	-0.940846862010892	5.31230454769673	37.2018693561855	2.0255937201624e-06	8.88693582859982e-05
KAF5834204	1.27119795333138	0.143670657440695	0.879701284274778	7.64592999704196	36.9876981694333	2.09050666937207e-06	9.04155829237174e-05
KAF5832971	-1.63808837462853	-0.139576665940881	-1.08129265388207	5.57854745274072	36.9519235001238	2.10158397088833e-06	9.04155829237174e-05
KAF5840134	-1.26261191575923	-0.203426709636708	-0.280770208904343	6.08267129189773	36.9375860039546	2.10604260660565e-06	9.04155829237174e-05
KAF5841384	-0.674948775518313	0.0604627621180586	-0.823778486260603	7.39548397027862	36.8964746451822	2.11888846017059e-06	9.04155829237174e-05
KAF5836700	1.91866727593174	-0.323783282230024	1.2255960963595	4.0960250457275	36.8471846309748	2.13441021726804e-06	9.0458337779455e-05
KAF5836629	1.46303130212136	-0.212404689025047	0.572632563165893	4.41055126745679	36.4337974204456	2.26992985154953e-06	9.55517768591458e-05
KAF5833204	2.30775841280051	-0.0422014745836127	1.22164932551281	2.9529366980856	36.3265425050158	2.30671009738403e-06	9.6448348367131e-05
KAF5826025	-1.2915465149846	-0.113488708768126	-0.899752518992095	8.04747788936422	36.2134138337439	2.34625830586266e-06	9.74479283034958e-05
KAF5838325	-1.90349060249165	0.329941191878549	-0.733406264771269	2.75507129311662	36.0230080739129	2.41461716494061e-06	9.92563376035481e-05
KAF5843083	3.60904254488769	0.691248382094542	1.28313457120558	4.09885105788098	36.0037386922838	2.42166345356971e-06	9.92563376035481e-05
KAF5838608	-5.12075777289192	0.0692975842410073	-1.58500595006292	0.814288282044624	35.8580288681867	2.47572702065056e-06	0.000100809015285314
KAF5841101	-2.06797469288398	-0.367748372549231	-1.04045737312423	7.42146183024383	35.1988510204804	2.73854751727638e-06	0.00011078669501709
KAF5831108	2.16648683425383	0.115807845681036	0.592704952570832	1.75534784761004	35.0986693299686	2.78127159683702e-06	0.000111789174505127
KAF5838731	-1.26147874527924	-0.242729475871322	-0.441291034712417	5.95016922758745	34.9581057050432	2.84253164137565e-06	0.000112229811667513
KAF5829024	-0.751699483187748	0.220522171142612	-0.32740669440262	8.59680439381962	34.950457474877	2.84590965688888e-06	0.000112229811667513
KAF5834078	1.18286723442485	-0.472335445087329	0.952414669921085	5.35100258971653	34.9386621444511	2.85112849480116e-06	0.000112229811667513
KAF5842926	0.357481573225619	0.00954391426380664	0.192773993168169	12.7694355577509	34.9000226502835	2.86830267243881e-06	0.000112229811667513
KAF5836815	-1.86050994497263	-0.603690206598276	-1.04967317494179	8.79932182063053	34.8079116164691	2.90973121606501e-06	0.000112229811667513
KAF5832972	-2.58843881248031	-0.416849771460767	-1.96015041165409	3.51413805235562	34.8040431805018	2.91148628958668e-06	0.000112229811667513
KAF5829160	-2.14952595487848	-0.139980678745163	-1.3541906959862	4.1028926985211	34.7889726813707	2.91833539167529e-06	0.000112229811667513
KAF5826365	-1.1437359828072	0.0164774410965498	-0.520924122008142	6.6247285377997	34.722024061961	2.9489891079977e-06	0.000112712896581753
KAF5836483	6.28050601823943	2.8556213552658	5.4013204803365	-0.123150509670055	34.5971002237798	3.00719539896686e-06	0.000113869698019731
KAF5828012	-1.31547938210601	0.177865079437053	-0.239333394937869	4.71338230005999	34.5434711053136	3.03259242600806e-06	0.000113869698019731
KAF5836398	1.34488513376604	0.283279215867096	0.417524078893216	6.11416510361305	34.540328762707	3.03408826184196e-06	0.000113869698019731
KAF5829881	0.23100743870193	0.0157476149559064	0.21979248273657	13.4683749048868	34.4355418788952	3.08446467086448e-06	0.00011451514034252
KAF5837580	2.13952656930662	0.331137072398663	0.00859381901507019	2.30651514064102	34.4281627429579	3.08804872833761e-06	0.00011451514034252
KAF5831901	-1.55014319795171	-0.0222486988182738	-0.985608877171014	5.23761677312481	34.1709053339181	3.21608228243789e-06	0.000118557352778628
KAF5837658	-1.65008142210172	0.364993702717743	-1.08816455289275	3.96851941252259	33.9949015276756	3.30723892140567e-06	0.00012120057929622
KAF5828013	-1.31686128602932	0.176545399077352	-0.24063596918031	4.58433724129873	33.7949662174454	3.41446062833916e-06	0.000124025250023419
KAF5836364	-1.94157207339501	-0.0362369637446221	-0.66922853488276	3.87301892214535	33.7772919470522	3.4241321033753e-06	0.000124025250023419
KAF5835385	0.417133312418083	-0.513120553065105	-0.456497161488218	8.21423498352893	33.5882299265303	3.52960755790472e-06	0.000127106676796222
KAF5841333	1.54877301349718	-0.158797123585895	1.07306804367832	5.10419919396224	33.5435635408885	3.55507552563204e-06	0.000127288048992457
KAF5836079	0.584202685291536	0.13776260080443	0.403412369160882	12.6000152722696	33.3444925789898	3.67121423996023e-06	0.000130695226942584
KAF5836058	0.354710391650108	0.17472385122637	0.309479352990552	12.7056776527826	33.2908320763026	3.70327142707754e-06	0.000131087391992574
KAF5836538	-1.03007009493358	-0.0108612851401062	-0.37681994999031	8.26875681411061	33.2526783725322	3.72626291379338e-06	0.000131156033632389
KAF5831310	1.38251097945433	-0.117408940980661	0.664912559915599	3.83557482872179	33.1471274285099	3.79073845264908e-06	0.000132675845842718
KAF5830705	-0.858160000710569	0.0100308059109445	-0.378350225748948	5.65948246350881	33.0838590573115	3.83000785683167e-06	0.00013299354669596
KAF5825582	1.64771287833706	0.163117841571014	0.126648307667758	4.435645908884	33.0638743671925	3.84251017741138e-06	0.00013299354669596
KAF5838341	-0.958608761118089	0.0999861195038402	-0.349877746803922	5.8574144891581	32.9875031787117	3.89072708341329e-06	0.00013391839629649
KAF5840290	1.12041313432585	-0.19502799433907	0.656006783670036	7.19498973197745	32.9522096377445	3.91324725432016e-06	0.000133953463705575
KAF5830960	1.13498748491574	0.321812920667381	0.556180933811616	5.9474494972606	32.6008234417562	4.14593355310487e-06	0.000141142983802423
KAF5829871	0.86047061600362	0.167903272835053	0.366324330619138	7.29208012060089	32.2591447410366	4.38776829258226e-06	0.000148564111210802
KAF5836580	1.69326455181887	-0.230133734647929	0.383376225606324	2.86535731321954	32.1897980133926	4.43883282545141e-06	0.0001487774934212
KAF5836149	-1.34687861676832	-0.577649573414533	-1.97338690105946	2.5512686114332	32.1857538716623	4.44183206682875e-06	0.0001487774934212
KAF5829471	-1.10656296167501	-0.0533694521775601	-0.493894478604592	5.52150044257232	32.0857059661123	4.51678634896506e-06	0.000150479031839852
KAF5839053	-1.2965248758376	-0.0327924698643792	-0.588989614790095	5.44189529521472	31.4881842381971	4.99634091662732e-06	0.000165570233566958
KAF5843169	-2.95171794672004	0.335153726989568	-1.53247906808895	3.45556357037547	31.1152051394854	5.325710999986e-06	0.000175551214443983
KAF5829703	0.895290202674899	0.236614541538276	0.048510795745699	6.13992561356007	30.9779162244495	5.45326144986036e-06	0.000178809572803316
KAF5843657	1.48719888650707	-0.447192741359109	0.0502782717223432	5.08671370492481	30.7913991469559	5.63228664755786e-06	0.000183712805310395
KAF5831683	-0.668749521589861	-0.110063996779586	-0.452559764495336	11.8025137821102	30.5779585434759	5.8456066761798e-06	0.000189677758294793
KAF5842381	-1.12628860172135	-0.73703159204237	-0.86656759874164	8.43718249561389	30.3446301679042	6.08964181549793e-06	0.000196572375702343
KAF5841353	-0.532768916195933	-0.224222779315081	-0.0636373325632108	9.72248521175012	30.2926859961286	6.14557072990141e-06	0.000197355183748896
KAF5838719	1.11342786955425	-0.271909946279019	0.171567836025051	5.25566862510963	30.0742996734099	6.38734404340488e-06	0.000204067453284166
KAF5835595	4.89374589046385	-1.19481823929877	3.88731271958554	2.83024716317387	29.9928548960039	6.48033141285755e-06	0.000205981962765829
KAF5837686	-0.890333702957751	-0.171258878119192	-0.485340382128664	8.32224475434812	29.9064396582645	6.58072058223004e-06	0.000208111112828899
