Pathways,ListReactions,SetSize,P-value,P-value_adj,Reject
Tryptophan metabolism,3,31,0.012996003680624424,0.039835576499305296,True
Nitrogen metabolism,10,19,0.010852182136391305,0.03400350402735942,True
Inositol phosphate metabolism,4,37,0.010523612691818816,0.03372339521696484,True
Folate biosynthesis,17,38,0.008294116909135901,0.028305306315607733,True
Ubiquinone and other terpenoid-quinone biosynthesis,18,41,0.008431367838691665,0.028305306315607733,True
Arginine and proline metabolism,15,32,0.007787906066596983,0.02745236888475436,True
BOIMMG (PI),34,166,0.0063216356048708,0.023332613435558907,True
One carbon pool by folate,12,23,0.006161040655046483,0.023332613435558907,True
Amino sugar and nucleotide sugar metabolism,18,40,0.006453701588558847,0.023332613435558907,True
Purine metabolism,41,108,0.004607950720348384,0.01856345861626063,True
Terpenoid backbone biosynthesis,15,30,0.003971345855546841,0.01646940487153249,True
Metacyc: [2Fe-2S] iron-sulfur cluster biosynthesis,14,27,0.0035501835044863253,0.015168965882805207,True
"Alanine, aspartate and glutamate metabolism",20,43,0.0029121363752931204,0.012831600903635313,True
BOIMMG (PG),35,86,0.002329813776703304,0.01095012475050553,True
BOIMMG (DGDG),15,28,0.0017808950738189078,0.00896807876458807,True
Thiamine metabolism,15,28,0.0017808950738189078,0.00896807876458807,True
BOIMMG (PA),65,172,0.0010764891764772184,0.005837883610895685,True
BOIMMG (DAG),52,250,0.0010542355436852524,0.005837883610895685,True
"Phenylalanine, tyrosine and tryptophan biosynthesis",17,30,0.00041115119693092334,0.00252053559857653,True
Fatty acid biosynthesis,28,166,0.0002621863070743854,0.0017603937760708737,True
Aminoacyl-tRNA biosynthesis,21,39,0.00023892781813987537,0.0016844411178861213,True
Lysine biosynthesis,11,15,0.00020213978263903967,0.0015000899659002418,True
Porphyrin and chlorophyll metabolism,23,42,9.099454822480936e-05,0.0007547194882175364,True
BOIMMG (DGTS),30,60,8.381312912086535e-05,0.0007386032003776258,True
Pyrimidine metabolism,40,85,4.2060965280541426e-05,0.0003953730736370894,True
BOIMMG (SQDG),16,23,1.9915977603170635e-05,0.00023104905694011502,True
BOIMMG (PE),32,53,2.576052643008743e-07,4.035815807380365e-06,True
Fatty acid degradation,3,75,1.246159248907219e-07,2.1963556761989735e-06,True
Steroid biosynthesis,36,60,6.118627858814865e-08,1.232466468704137e-06,True
Fatty acid metabolism,29,216,5.5065993964916494e-08,1.232466468704137e-06,True
Biotin metabolism,15,15,2.5981971920189027e-09,9.158645101866632e-08,True
BOIMMG (MGDG),31,36,1.4512656005693748e-13,6.820948322676061e-12,True
BOIMMG (TAG),13,217,1.6709826682092856e-17,1.1780427810875463e-15,True
