Pathways,ListReactions,SetSize,P-value,P-value_adj,Reject
Folate biosynthesis,17,38,0.009294221780600772,0.033408514464485055,True
Ubiquinone and other terpenoid-quinone biosynthesis,18,41,0.009477592755882286,0.033408514464485055,True
Pantothenate and CoA biosynthesis,13,26,0.007578340103764415,0.028879620395426554,True
"Valine, leucine and isoleucine degradation",6,49,0.00591227245657618,0.023156400454923374,True
Metacyc: [2Fe-2S] iron-sulfur cluster biosynthesis,14,27,0.003977475211458142,0.016494823671047,True
Arginine biosynthesis,16,31,0.002354590262418304,0.010374913343780651,True
BOIMMG (PA),64,172,0.0022602970207718158,0.010374913343780651,True
BOIMMG (DGDG),15,28,0.002020229669655631,0.009822495980049792,True
Terpenoid backbone biosynthesis,16,30,0.0015597116625493455,0.00814516090442436,True
BOIMMG (DAG),53,250,0.0011424385500529966,0.006195532136825867,True
BOIMMG (SQDG),14,23,0.0005688056458826714,0.0033417331695606944,True
"Phenylalanine, tyrosine and tryptophan biosynthesis",17,30,0.0004781783454664974,0.0029314411613380925,True
Amino sugar and nucleotide sugar metabolism,21,40,0.00043930658643297687,0.0028155558494113516,True
Aminoacyl-tRNA biosynthesis,21,39,0.0002854142970300187,0.0020121707940616317,True
Fatty acid biosynthesis,28,166,0.0001884600934937508,0.0013985722727694139,True
One carbon pool by folate,15,23,0.0001267752228495895,0.0009930725789884512,True
Porphyrin and chlorophyll metabolism,23,42,0.00011093706161088385,0.0009201250404196837,True
BOIMMG (DGTS),30,60,0.0001059573192676853,0.0009201250404196837,True
Steroid biosynthesis,34,60,1.2072535807641387e-06,1.7022275488774355e-05,True
Fatty acid degradation,3,75,9.208760765043603e-08,1.4427058531901645e-06,True
Fatty acid metabolism,27,216,4.013400780021989e-09,8.084135856901434e-08,True
Biotin metabolism,15,15,3.1288440369072266e-09,7.352783486731982e-08,True
BOIMMG (MGDG),29,36,3.42092833190397e-11,9.647017895969195e-10,True
BOIMMG (PI),87,166,1.2177839314509614e-11,4.292688358364639e-10,True
BOIMMG (PE),41,53,3.693448067125084e-14,1.7359205915487895e-12,True
BOIMMG (TAG),9,217,1.9678263006247626e-21,2.7746350838809154e-19,True
