Pathways,ListReactions,SetSize,P-value,P-value_adj,Reject
Ascorbate and aldarate metabolism,4,32,0.01755641072515643,0.04853831200484424,True
Terpenoid backbone biosynthesis,14,30,0.017374244121781693,0.04853831200484424,True
Metacyc: [2Fe-2S] iron-sulfur cluster biosynthesis,13,27,0.0163243672281457,0.04795282873267799,True
"Glycine, serine and threonine metabolism",10,58,0.015086389645117366,0.04582436135974616,True
Folate biosynthesis,17,38,0.015274787119915385,0.04582436135974616,True
Glycerophospholipid metabolism,14,29,0.01298312885606778,0.040680470415679036,True
Purine metabolism,41,108,0.01263856623596253,0.040500859983425376,True
BOIMMG (DAG),64,250,0.012501931473559456,0.040500859983425376,True
Amino sugar and nucleotide sugar metabolism,18,40,0.012398256249824633,0.040500859983425376,True
O-Antigen nucleotide sugar biosynthesis,8,13,0.011016640870577986,0.0388336590687874,True
Glyoxylate and dicarboxylate metabolism,5,40,0.008298937250074651,0.0300038500579622,True
Ubiquinone and other terpenoid-quinone biosynthesis,19,41,0.007727398271915612,0.028672714640528982,True
Inositol phosphate metabolism,4,37,0.005730250861119327,0.023084724897652144,True
Pyruvate metabolism,8,56,0.004815605780812938,0.02041776116688382,True
BOIMMG (SQDG),13,23,0.0035792472453127547,0.015771058174659326,True
Pyrimidine metabolism,13,85,0.0011661885612007498,0.0056700892113553695,True
BOIMMG (DGDG),16,28,0.0011584877852080248,0.0056700892113553695,True
Aminoacyl-tRNA biosynthesis,21,39,0.0006295098118051902,0.003413880133251224,True
BOIMMG (PG),39,86,0.0005577450674733674,0.003145682180549792,True
Riboflavin metabolism,11,15,0.00038723339174964066,0.002274996176529139,True
BOIMMG (DGTS),30,60,0.00029859941456099196,0.0019033553345641479,True
"Valine, leucine and isoleucine degradation",4,49,0.00028213377265848803,0.0018943267592784196,True
BOIMMG (PE),28,53,0.00014578468760709435,0.0010818758396105423,True
Porphyrin and chlorophyll metabolism,24,42,8.551652145536696e-05,0.0006698794180670412,True
Steroid biosynthesis,34,60,4.684996229244222e-06,5.081418987103349e-05,True
BOIMMG (PC),42,72,1.4166720397282704e-07,1.8159159781971467e-06,True
Fatty acid biosynthesis,21,166,5.834340007780932e-08,8.226419410971113e-07,True
Biotin metabolism,15,15,7.2940103360571485e-09,1.4692220819772257e-07,True
BOIMMG (TAG),112,217,7.069032441789734e-12,1.993467148584705e-10,True
BOIMMG (MGDG),31,36,1.0888072190440458e-12,3.838045447130262e-11,True
BOIMMG (PI),94,166,1.5528902975942188e-13,7.298584398692829e-12,True
Fatty acid metabolism,18,216,9.604979424639655e-16,6.771510494370957e-14,True
